S. No.,State Name,District Name,University Name ,College Name
103,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",G V R & S Degree College for Women
104,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",G.V.R.S Institute for Professional Studies
105,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",G.V.S.M. GOVT. Degree College
106,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Hazarath Ameeruddin College of Education
107,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Hindu College, Guntur "
108,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Hindu College of Education
109,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Hindu College of Management, Guntur "
110,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Hindu College of Pharmacy
111,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",H.M.K.S. & M.G.S. Memorial College of Education
112,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Ideal & S.K.C.M Degree College
113,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Indira Priyadarsni Law College
114,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",J.C. College of Law
115,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",J.K.C. College
116,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",J.M.J. College for Women
117,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",J.R.R Navodaya Degree College
118,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Kalikamba College of Education
119,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur","Kalyani MCA College, Eethamukkala "
120,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Kamala College of Education
121,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Kamala Institute of Management Studies
122,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Kasturibai College of Education
123,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",K Chandrakala College (P.G.)
124,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",K.C Reddy Institute of Pharmaceutical Sciences
125,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","KC Reddy PG College, Janamguntapalem "
126,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",K.L.N. Sanskrit College
127,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",K.L.R. Degree College
128,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Konijeti Rosaiah Siva Lakshmi College
129,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Krishnaveni Degree College
130,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","Krishnaveni Degree College, Vinukonda "
131,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",K R K Govt. Degree College
132,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",K.S.R & K.R.K College of Education
133,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","K.S.R.N. Degree College, Govada "
134,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur","K.V.R., K.VR. & M.K.R College "
135,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Lakshmi Narsimha College of Education
136,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Magunta Subba Rami Reddy Degree College
137,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",Mahatma Gandhi College
138,Andhra Pradesh,Prakasam,"Acharya Nagarjuna University, Guntur",Malineni Lakshmaiah B.Ed College
139,Andhra Pradesh,Guntur,"Acharya Nagarjuna University, Guntur",M.A.M College of Education
